rule,value,n_node_samples,path_len
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 <= -0.288834 AND f13 <= -2.257548 AND f13 <= -3.849184 AND f13 > -5.871584 AND f13 > -4.694530 AND f13 <= -4.221504 AND f13 > -4.526074 AND f13 <= -4.424162,18.5,3,11
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 <= -0.288834 AND f13 > -2.257548 AND f13 <= -1.478622 AND f13 <= -1.817440 AND f13 > -2.024549 AND f13 <= -1.910233 AND f13 > -1.958649 AND f13 <= -1.934074 AND f13 <= -1.945810 AND f4 <= -0.644282 AND f11 <= 0.957248,39.0,3,14
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 <= 0.030378 AND f3 <= -0.985277 AND f7 > 0.192860 AND f2 <= 0.470354 AND f2 > 0.058426 AND f13 > 0.380958 AND f1 <= -1.022230 AND f1 > -1.350584 AND f9 > -0.235085 AND f9 > 0.261179 AND f14 <= -0.203145,41.0,3,14
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 > -0.288834 AND f1 <= -0.892765 AND f13 <= 0.390917 AND f3 > -0.549347 AND f4 > -1.044105 AND f9 <= 0.261179 AND f7 > 0.198432 AND f8 <= -1.165868 AND f1 <= -1.087901 AND f8 > -1.456295 AND f0 > -1.510743 AND f13 > 0.385534,24.5,3,15
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 <= 0.289661 AND f14 <= -0.169958 AND f13 > -1.388880 AND f13 <= 0.402215 AND f1 > 0.289309 AND f14 > -0.213057 AND f1 <= 0.908490 AND f13 > 0.396711 AND f1 <= 0.589518 AND f8 <= 0.286264 AND f14 <= -0.192727 AND f10 > -0.228381 AND f0 <= -0.189832 AND f0 > -0.233632,53.0,3,16
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 > -0.288834 AND f1 > -0.892765 AND f13 <= 0.401985 AND f14 > -0.153754 AND f5 <= 0.348841 AND f3 <= 0.322515 AND f6 <= 0.638068 AND f9 > -1.227614 AND f4 <= -0.418294 AND f2 <= 0.897974 AND f0 <= -0.858356 AND f0 > -1.022029 AND f6 > 0.311504,25.0,3,16
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 <= -0.241364 AND f2 > -0.747775 AND f2 > -0.506503 AND f7 > 0.185889 AND f6 <= 0.848912 AND f2 > -0.290732 AND f13 > -1.140296 AND f3 > -1.128158 AND f14 <= -0.249280 AND f8 > -0.004163 AND f11 > -0.894771 AND f8 <= 1.157543 AND f13 > 0.389455 AND f4 <= 0.087073,74.0,3,17
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 <= 0.397420 AND f13 > -1.386342 AND f13 <= 0.394584 AND f13 > 0.391078 AND f5 > 0.466313 AND f6 <= -0.446554 AND f13 > 0.392878 AND f0 > -0.229022 AND f4 <= -0.064413,57.99999999999999,3,17
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 > -0.288834 AND f1 <= -0.892765 AND f13 <= 0.390917 AND f3 > -0.549347 AND f4 <= -1.044105 AND f0 <= -0.996672 AND f7 > 0.197540 AND f2 > 1.237324 AND f5 <= 0.289524 AND f6 > 0.153616 AND f4 <= -1.138473 AND f0 > -1.635227 AND f7 <= 0.212580 AND f13 <= 0.389791 AND f10 <= 0.063462 AND f12 > 0.479511,18.5,3,19
IF f2 > -0.157345 AND f0 <= -0.835304 AND f7 > 0.190982 AND f13 > -0.288834 AND f1 > -0.892765 AND f13 <= 0.401985 AND f14 <= -0.153754 AND f1 <= -0.378657 AND f3 > -1.023184 AND f1 > -0.690124 AND f13 <= 0.397554 AND f13 > 0.393508 AND f7 <= 0.206612 AND f6 > -0.148430 AND f1 > -0.633835 AND f1 <= -0.508122 AND f3 > -0.788452 AND f7 <= 0.206010 AND f0 > -1.054303,36.0,3,19
IF f2 > -0.157345 AND f0 > -0.835304 AND f7 > 0.187807 AND f1 > 0.030378 AND f4 <= 0.762551 AND f13 > -1.654668 AND f13 <= 0.406418 AND f1 <= 0.497579 AND f13 > 0.397420 AND f14 <= -0.182876 AND f4 > -0.137673 AND f8 > -0.439802 AND f9 > -0.235085 AND f2 <= 0.285967 AND f2 <= 0.244774 AND f13 > 0.399917 AND f14 > -0.217693 AND f1 <= 0.407516 AND f5 > 0.132507,56.499999999999986,3,19
IF f2 <= -0.157345 AND f7 <= 0.195483 AND f2 > -1.068439 AND f14 > -0.241364 AND f13 > -1.179991 AND f8 > -0.439802 AND f10 <= -1.103911 AND f13 <= 0.403034 AND f8 > -0.294589 AND f7 <= 0.193615 AND f4 <= 1.681134 AND f0 > -0.162169 AND f2 > -0.849776 AND f4 <= 1.153376 AND f4 > 0.052305 AND f4 > 0.165186 AND f3 <= -0.780695 AND f8 > -0.004163 AND f8 <= 1.447969 AND f1 > -0.205476,96.83333333333333,3,20
IF f2 <= -0.157345 AND f7 > 0.195483 AND f0 > 0.289661 AND f13 > -1.208139 AND f14 <= -0.166710 AND f4 <= 2.030314 AND f8 > -0.439802 AND f1 <= 0.880346 AND f2 > -0.930200 AND f13 > 0.398532 AND f6 > 0.061433 AND f0 > 0.600870 AND f2 > -0.810545 AND f1 > 0.379372 AND f13 <= 0.403972 AND f6 > 0.076143 AND f6 <= 0.658662 AND f2 > -0.592812 AND f6 <= 0.499793 AND f6 > 0.284046,61.666666666666664,3,20
